breed,query
Afador,afador dog
Afaird,afaird dog
Affen Border Terrier,affen border terrier
Affen Spaniel,affen spaniel dog
Affen Tzu,affen tzu dog
Affenchon,affenchon dog
Affengriffon,affengriffon dog
Affenhuahua,affenhuahua dog
Affenpinscher,affenpinscher dog
Affenpoo,affenpoo dog
Affenpug,affenpug dog
Affenshire,affenshire dog
Affenwich,affenwich dog
Afghan Chon,afghan chon dog
Afghan Collie,afghan collie dog
Afghan Hound,afghan hound
Afghan Retriever,afghan retriever dog
Afghan Sheepdog,afghan sheepdog
Afghan Spaniel,afghan spaniel dog
Afollie,afollie dog
Airedale Shepherd,airedale shepherd dog
Airedale Terrier,airedale terrier
Airedoodle,airedoodle dog
Akbash,akbash dog
Akbash Pyrenees,akbash pyrenees dog
Akbash Rottie,akbash rottie dog
Aki-poo,aki-poo dog
Akita,akita dog
Akita Basset,akita basset dog
Akita Bernard,akita bernard dog
Akita Chow,akita chow dog
Akita Pit,akita pit dog
Akita Shepherd,akita shepherd dog
Akitamatian,akitamatian dog
Alaskan Goldenmute,alaskan goldenmute dog
Alaskan Husky Shepherd,alaskan husky shepherd dog
Alaskan Irish Setsky,alaskan irish setsky dog
Alaskan Klee Kai,alaskan klee kai dog
Alaskan Malador,alaskan malador dog
Alaskan Malamute,alaskan malamute dog
Alaskan Pit Bull Terrier,alaskan pit bull terrier
Alaskan Shepherd,alaskan shepherd dog
Alaskan Weimsky,alaskan weimsky dog
Alusky,alusky dog
American Bandogge,american bandogge
American Boston Bull Terrier,american boston bull terrier
American Boxer Foxhound,american boxer foxhound
American Bull-Aussie,american bull-aussie dog
American Bull Dane,american bull dane dog
American Bull Dogue De Bordeaux,american bull dogue de bordeaux
American Bull-Jack,american bull-jack dog
American Bull Pei,american bull pei dog
American Bull Staffy,american bull staffy dog
American Bulldog,american bulldog
American Bulldog Shepherd,american bulldog shepherd
American Bullhuahua,american bullhuahua dog
American Bullweiler,american bullweiler dog
American Chow Bulldog,american chow bulldog
American Eagle Dog,american eagle dog
American English Coonhound,american english coonhound
American Eskimo Dog,american eskimo dog
American Foxeagle,american foxeagle dog
American Foxhound,american foxhound
American Foxy Dane,american foxy dane dog
American French Bull Terrier,american french bull terrier
American Hairless Terrier,american hairless terrier
American Lab Foxhound,american lab foxhound
American Leopard Hound,american leopard hound
American Pit Bull Terrier,american pit bull terrier
American Pugabull,american pugabull dog
American Staffordshire Terrier,american staffordshire terrier
American Water Spaniel,american water spaniel dog
Amstiff,amstiff dog
Anatolian Shepherd Dog,anatolian shepherd dog
Appenzeller Sennenhunde,appenzeller sennenhunde dog
Auggie,auggie dog
Aussie Rottie,aussie rottie dog
Aussie Shiba,aussie shiba dog
Aussiedoodle,aussiedoodle dog
Aussiepom,aussiepom dog
Australian Boxherd,australian boxherd dog
Australian Cattle Dog,australian cattle dog
Australian Kelpie,australian kelpie dog
Australian Retriever,australian retriever dog
Australian Shepherd,australian shepherd dog
Australian Shepherd Husky,australian shepherd husky dog
Australian Shepherd Lab Mix,australian shepherd lab mix dog
Australian Shepherd Pit Bull Mix,australian shepherd pit bull mix dog
Australian Stumpy Tail Cattle Dog,australian stumpy tail cattle dog
Australian Terrier,australian terrier
Azawakh,azawakh dog
Ba-Shar,ba-shar dog
Bagle Hound,bagle hound
Barbado da Terceira,barbado da terceira dog
Barbet,barbet dog
Bascottie,bascottie dog
Basenji,basenji dog
Bassador,bassador dog
